用語,読み,ページ,種類,分野,国,立場,開始年,終了年,時代,メモ
冬の時代,冬(ふゆ)の時(じ)代(だい),266;276,その他,社会運動,,,1910,1918,,
部落解放同盟,部(ぶ)落(らく)解(かい)放(ほう)同(どう)盟(めい),352,組織・団体・政党,社会運動;身分・社会構造,,,1955,1955,,
プラザ合意,プラザ合(ごう)意(い),358,条約・協定・会議,貨幣・金融;対外関係,,,1985,1985,,
フランシスコ＝ザビエル,フランシスコ＝ザビエル,139,人物,キリスト教,ポルトガル・スペイン,僧侶・宗教家;来日外国人,1549,1551,,
フランクリン＝ローズヴェルト,フランクリン＝ローズヴェルト,307;323,人物,対外関係;戦争・軍事,アメリカ,政治家,1933,1945,,
振売,振(ふり)売(うり),124;175,その他,商業・流通・都市,,,,,室町;江戸,
風流,風(ふ)流(りゅう),130,文化・流派,芸能,,,,,室町,
古河市兵衛,古(ふる)河(かわ)市(いち)兵(べ)衛(え),284,人物,産業・工業,日本,実業家,1877,1903,,
フルベッキ,フルベッキ,231,人物,教育;キリスト教,アメリカ,来日外国人,1859,1898,,
プレス＝コード,プレス＝コード,327,法令・政策,法制・制度,,,1945,1952,,
浮浪,浮(ふ)浪(ろう),47,その他,土地・税制;身分・社会構造,,,,,奈良,
ブロック経済圏,ブロック経(けい)済(ざい)圏(けん),307,その他,対外関係;貨幣・金融,,,1930,1939,,
プロレタリア文学（運動）,プロレタリア文(ぶん)学(がく)（運(うん)動(どう)）,299;315,文化・流派,文学;社会運動,,,1921,1934,,
文永の役,文(ぶん)永(えい)の役(えき),100,事件・戦争・乱,対外関係;戦争・軍事,,,1274,1274,,
文学界,文(ぶん)学(がく)界(かい),291,書物・史料,文学,,,1893,1898,,
文化財保護法,文(ぶん)化(か)財(ざい)保(ほ)護(ご)法(ほう),338,法令・政策,美術・建築,,,1950,1950,,
文化住宅,文(ぶん)化(か)住(じゅう)宅(たく),296,その他,生活・風俗,,,1920,1935,,
文華秀麗集,文(ぶん)華(か)秀(しゅう)麗(れい)集(しゅう),58,書物・史料,文学,,,818,818,,
文化大革命,文(ぶん)化(か)大(だい)革(かく)命(めい),339,事件・戦争・乱,対外関係,,,1966,1976,,
文化庁,文(ぶん)化(か)庁(ちょう),338,組織・団体・政党,美術・建築,,,1968,1968,,
分割相続,分(ぶん)割(かつ)相(そう)続(ぞく),97,制度・役職,身分・社会構造,,,,,鎌倉,
文官高等試験,文(ぶん)官(かん)高(こう)等(とう)試(し)験(けん),253,制度・役職,政治・政策,,,1893,1947,,
文官任用令改正,文(ぶん)官(かん)任(にん)用(よう)令(れい)改(かい)正(せい),261,法令・政策,政治・政策,,,1899,1899,,
文久の改革,文(ぶん)久(きゅう)の改(かい)革(かく),225,法令・政策,政治・政策,,,1862,1862,,
墳丘墓,墳(ふん)丘(きゅう)墓(ぼ),16,その他,考古,,,,,弥生,
文鏡秘府論,文(ぶん)鏡(きょう)秘(ひ)府(ふ)論(ろん),59,書物・史料,文学,,,820,820,,
文芸協会,文(ぶん)芸(げい)協(きょう)会(かい),291,組織・団体・政党,芸能;文学,,,1906,1913,,
分国,分(ぶん)国(こく),132,制度・役職,政治・政策,,,,,戦国,
分国法,分(ぶん)国(こく)法(ほう),134,法令・政策,法制・制度,,,,,戦国,
文人画,文(ぶん)人(じん)画(が),203;217,文化・流派,美術・建築,,,1750,1850,,
文治主義,文(ぶん)治(ち)主(しゅ)義(ぎ),178,法令・政策,政治・政策,,,1651,1716,,
分地制限令,分(ぶん)地(ち)制(せい)限(げん)令(れい),169,法令・政策,土地・税制;農林漁業,,,1673,1673,,
文展,文(ぶん)展(てん),293;299,その他,美術・建築,,,1907,1918,,
文明開化,文(ぶん)明(めい)開(かい)化(か),242,その他,生活・風俗;思想・学問,,,1868,1890,,
文明論之概略,文(ぶん)明(めい)論(ろんの)之(の)概(がい)略(りゃく),242,書物・史料,思想・学問,,,1875,1875,,
文禄の役,文(ぶん)禄(ろく)の役(えき),146,事件・戦争・乱,対外関係;戦争・軍事,,,1592,1593,,
部,部(べ),31,制度・役職,身分・社会構造,,,,,古墳,
平安京,平(へい)安(あん)京(きょう),55,寺社・遺跡・場所,政治・政策,,,794,794,,
平曲,平(へい)曲(きょく),107,文化・流派,芸能;文学,,,,,鎌倉;室町,
平家納経,平(へい)家(け)納(のう)経(きょう),85,作品,美術・建築;仏教,,,1164,1164,,
平家没官領,平(へい)家(け)没(もっ)官(かん)領(りょう),92,制度・役職,土地・税制,,,1183,1185,,
平家物語,平(へい)家(け)物(もの)語(がたり),107,書物・史料,文学,,,1220,1250,,
平治の乱,平(へい)治(じ)の乱(らん),81,事件・戦争・乱,政変・事件・反乱;戦争・軍事,,,1159,1160,,
平城京,平(へい)城(じょう)京(きょう),42,寺社・遺跡・場所,政治・政策,,,710,784,,
平城太上天皇の変,平(へい)城(ぜい)太(だい)上(じょう)天(てん)皇(のう)の変(へん),57,事件・戦争・乱,政変・事件・反乱,,,810,810,,薬子の変
平城天皇,平(へい)城(ぜい)天(てん)皇(のう),57,人物,政治・政策,日本,天皇・皇族,806,810,,
平成不況,平(へい)成(せい)不(ふ)況(きょう),361,事件・戦争・乱,貨幣・金融;産業・工業,,,1991,2002,,
米ソ対立,米(べい)ソ対(たい)立(りつ),325,その他,対外関係,,,1945,1989,,
兵農分離,兵(へい)農(のう)分(ぶん)離(り),145,法令・政策,身分・社会構造,,,1582,1598,,
平民,平(へい)民(みん),238,制度・役職,身分・社会構造,,,1869,1947,,
平民宰相,平(へい)民(みん)宰(さい)相(しょう),271,その他,政治・政策,,,1918,1921,,原敬のこと
平民新聞,平(へい)民(みん)新(しん)聞(ぶん),262,書物・史料,社会運動,,,1903,1905,,
平民的欧化主義,平(へい)民(みん)的(てき)欧(おう)化(か)主(しゅ)義(ぎ),251,文化・流派,思想・学問,,,1887,1895,,
平和主義,平(へい)和(わ)主(しゅ)義(ぎ),331,その他,法制・制度;戦争・軍事,,,1946,1946,,
北京議定書,北(ぺ)京(きん)議(ぎ)定(てい)書(しょ),262,条約・協定・会議,対外関係;条約・会議,,,1901,1901,,
ベトナム戦争,ベトナム戦(せん)争(そう),340;343,事件・戦争・乱,対外関係;戦争・軍事,,,1965,1975,,
ベトナム和平協定,ベトナム和(わ)平(へい)協(きょう)定(てい),354,条約・協定・会議,対外関係;条約・会議,,,1973,1973,,
ヘボン,ヘボン,231,人物,教育;キリスト教,アメリカ,来日外国人,1859,1892,,
ペリー,ペリー,221,人物,対外関係,アメリカ,軍人;来日外国人,1853,1854,,
ベルツ,ベルツ,290,人物,思想・学問,ドイツ,来日外国人;学者・思想家,1876,1905,,
ペレストロイカ,ペレストロイカ,359,その他,対外関係,,,1985,1991,,
弁韓,弁(べん)韓(かん),26,国・地域・王朝,対外関係,,,,,弥生;古墳,
変動相場制,変(へん)動(どう)相(そう)場(ば)制(せい),353,制度・役職,貨幣・金融,,,1973,1973,,
保,保(ほ),77,制度・役職,土地・税制,,,,,平安,
ボアソナード,ボアソナード,254,人物,法制・制度,フランス,来日外国人;学者・思想家,1873,1895,,
保安条例,保(ほ)安(あん)条(じょう)例(れい),251,法令・政策,社会運動;法制・制度,,,1887,1887,,
保安隊,保(ほ)安(あん)隊(たい),340,組織・団体・政党,戦争・軍事,,,1952,1954,,
防衛庁,防(ぼう)衛(えい)庁(ちょう),340,組織・団体・政党,戦争・軍事,,,1954,2007,,
貿易摩擦,貿(ぼう)易(えき)摩(ま)擦(さつ),357,事件・戦争・乱,対外関係;産業・工業,,,1970,1995,,
法皇,法(ほう)皇(おう),79,制度・役職,政治・政策;仏教,,,,,平安;鎌倉,
俸給生活者,俸(ほう)給(きゅう)生(せい)活(かつ)者(しゃ),295,その他,生活・風俗;労働運動,,,1915,1935,,
方形周溝墓,方(ほう)形(けい)周(しゅう)溝(こう)墓(ぼ),15,その他,考古,,,,,弥生,
封建制度,封(ほう)建(けん)制(せい)度(ど),93,制度・役職,政治・政策;身分・社会構造,,,1185,1867,,
保元の乱,保(ほう)元(げん)の乱(らん),81,事件・戦争・乱,政変・事件・反乱;戦争・軍事,,,1156,1156,,
房戸,房(ぼう)戸(こ),40,制度・役職,土地・税制,,,,,奈良,
奉公,奉(ほう)公(こう),92,制度・役職,身分・社会構造,,,1185,1333,,
法興寺,法(ほう)興(こう)寺(じ),35,寺社・遺跡・場所,仏教,,,596,596,,飛鳥寺
奉公衆,奉(ほう)公(こう)衆(しゅう),115,制度・役職,戦争・軍事,,,,,室町,
防穀令,防(ぼう)穀(こく)令(れい),258,法令・政策,対外関係,,,1889,1889,,
保司,保(ほう)司(し),77,制度・役職,土地・税制,,,,,平安,ほし とも読む（索引に2か所）
保司,保(ほ)司(し),77,制度・役職,土地・税制,,,,,平安,ほうし とも読む（索引に2か所）
宝治合戦,宝(ほう)治(じ)合(かっ)戦(せん),97,事件・戦争・乱,政変・事件・反乱,,,1247,1247,,
北条氏綱,北(ほう)条(じょう)氏(うじ)綱(つな),132,人物,戦争・軍事,日本,武家,1519,1541,,
北条氏康,北(ほう)条(じょう)氏(うじ)康(やす),132,人物,戦争・軍事,日本,武家,1541,1571,,
方丈記,方(ほう)丈(じょう)記(き),107,書物・史料,文学,,,1212,1212,,
北条氏,北(ほう)条(じょう)氏(し),94,人物,政治・政策,日本,武家,1180,1333,,
北条早雲,北(ほう)条(じょう)早(そう)雲(うん),132,人物,戦争・軍事,日本,武家,1493,1519,,伊勢宗瑞
北条高時,北(ほう)条(じょう)高(たか)時(とき),110,人物,政治・政策,日本,武家,1316,1333,,
北条時房,北(ほう)条(じょう)時(とき)房(ふさ),94,人物,政治・政策,日本,武家,1221,1240,,
北条時政,北(ほう)条(じょう)時(とき)政(まさ),94,人物,政治・政策,日本,武家,1203,1205,,
北条時宗,北(ほう)条(じょう)時(とき)宗(むね),99,人物,政治・政策;対外関係,日本,武家,1268,1284,,
北条時行,北(ほう)条(じょう)時(とき)行(ゆき),112,人物,政変・事件・反乱,日本,武家,1335,1353,,
北条時頼,北(ほう)条(じょう)時(とき)頼(より),96,人物,政治・政策,日本,武家,1246,1256,,
北条政子,北(ほう)条(じょう)政(まさ)子(こ),94,人物,政治・政策;女性,日本,武家,1199,1225,,
北条泰時,北(ほう)条(じょう)泰(やす)時(とき),94,人物,政治・政策;法制・制度,日本,武家,1224,1242,,
北条義時,北(ほう)条(じょう)義(よし)時(とき),94,人物,政治・政策,日本,武家,1205,1224,,
奉書船,奉(ほう)書(しょ)船(せん),162,その他,対外関係,,,1631,1635,,
奉天会戦,奉(ほう)天(てん)会(かい)戦(せん),263,事件・戦争・乱,戦争・軍事,,,1905,1905,,
報徳仕法,報(ほう)徳(とく)仕(し)法(ほう),211,法令・政策,農林漁業,,,1820,1856,,
法然,法(ほう)然(ねん),104,人物,仏教,日本,僧侶・宗教家,1175,1212,,
方墳,方(ほう)墳(ふん),24,その他,考古,,,,,古墳,
法隆寺,法(ほう)隆(りゅう)寺(じ),36,寺社・遺跡・場所,仏教;美術・建築,,,607,607,,
法隆寺金堂壁画,法(ほう)隆(りゅう)寺(じ)金(こん)堂(どう)壁(へき)画(が),49,作品,美術・建築;仏教,,,700,700,,
宝暦事件,宝(ほう)暦(れき)事(じ)件(けん),197;199,事件・戦争・乱,思想・学問;政変・事件・反乱,,,1758,1758,,
俸禄制度,俸(ほう)禄(ろく)制(せい)度(ど),157,制度・役職,身分・社会構造,,,,,江戸,
北越雪譜,北(ほく)越(えつ)雪(せっ)譜(ぷ),217,書物・史料,文学,,,1837,1842,,
北槎聞略,北(ほく)槎(さ)聞(ぶん)略(りゃく),206,書物・史料,対外関係,,,1794,1794,,
北清事変,北(ほく)清(しん)事(じ)変(へん),262,事件・戦争・乱,対外関係;戦争・軍事,,,1900,1901,,
北朝,北(ほく)朝(ちょう),112,その他,政治・政策,,,1336,1392,,
北爆,北(ほく)爆(ばく),340,事件・戦争・乱,対外関係;戦争・軍事,,,1965,1968,,
北伐,北(ほく)伐(ばつ),302,事件・戦争・乱,対外関係,,,1926,1928,,
穂首刈り,穂(ほ)首(くび)刈(が)り,14,その他,農林漁業;考古,,,,,弥生,
北部仏印進駐,北(ほく)部(ぶ)仏(ふつ)印(いん)進(しん)駐(ちゅう),317,事件・戦争・乱,対外関係;戦争・軍事,,,1940,1940,,
北面の武士,北(ほく)面(めん)の武(ぶ)士(し),78,制度・役職,戦争・軍事,,,1095,1221,,
北嶺,北(ほく)嶺(れい),80,寺社・遺跡・場所,仏教,,,,,平安,
干鰯,干(ほし)鰯(か),181,その他,農林漁業,,,,,江戸,
保科正之,保(ほ)科(しな)正(まさ)之(ゆき),176,人物,政治・政策,日本,武家,1651,1672,,
保守合同,保(ほ)守(しゅ)合(ごう)同(どう),341,事件・戦争・乱,政治・政策,,,1955,1955,,
戊戌夢物語,戊(ぼ)戌(じゅつ)夢(ゆめ)物(もの)語(がたり),209,書物・史料,対外関係;思想・学問,,,1838,1838,,
戊申詔書,戊(ぼ)申(しん)詔(しょう)書(しょ),266,法令・政策,政治・政策,,,1908,1908,,
戊辰戦争,戊(ぼ)辰(しん)戦(せん)争(そう),228,事件・戦争・乱,戦争・軍事,,,1868,1869,,
細川勝元,細(ほそ)川(かわ)勝(かつ)元(もと),122,人物,政治・政策;戦争・軍事,日本,武家,1445,1473,,
細川重賢,細(ほそ)川(かわ)重(しげ)賢(かた),206,人物,政治・政策,日本,武家,1747,1785,,
細川護熙,細(ほそ)川(かわ)護(もり)熙(ひろ),360,人物,政治・政策,日本,政治家,1993,1994,,
渤海,渤(ぼっ)海(かい),42;65,国・地域・王朝,対外関係,,,698,926,,
北海道旧土人保護法,北(ほっ)海(かい)道(どう)旧(きゅう)土(ど)人(じん)保(ほ)護(ご)法(ほう),241,法令・政策,北方・アイヌ,,,1899,1997,,
北海道,北(ほっ)海(かい)道(どう),241,国・地域・王朝,北方・アイヌ,,,1869,1869,,
北家（藤原氏）,北(ほっ)家(け)（藤(ふじ)原(わら)氏(し)）,62,人物,政治・政策,日本,公家・貴族,800,1185,,
法華一揆,法(ほっ)華(け)一(いっ)揆(き),132,事件・戦争・乱,仏教;一揆・打ちこわし,,,1532,1536,,
法華宗,法(ほっ)華(け)宗(しゅう),105,文化・流派,仏教,,,1253,1253,,日蓮宗
法勝寺,法(ほっ)勝(しょう)寺(じ),78,寺社・遺跡・場所,仏教,,,1077,1077,,
法相宗,法(ほっ)相(そう)宗(しゅう),52,文化・流派,仏教,,,,,奈良,
掘立柱住居,掘(ほっ)立(たて)柱(ばしら)住(じゅう)居(きょ),47,その他,生活・風俗;考古,,,,,奈良,
堀田正俊,堀(ほっ)田(た)正(まさ)俊(とし),177,人物,政治・政策,日本,武家,1680,1684,,
堀田正睦,堀(ほっ)田(た)正(まさ)睦(よし),222,人物,政治・政策;対外関係,日本,武家,1855,1858,,
ポツダム宣言,ポツダム宣(せん)言(げん),324,条約・協定・会議,対外関係;戦争・軍事,,,1945,1945,,
ポツダム勅令,ポツダム勅(ちょく)令(れい),326,法令・政策,法制・制度,,,1945,1952,,
ポーツマス条約,ポーツマス条(じょう)約(やく),263,条約・協定・会議,対外関係;条約・会議,,,1905,1905,,
穂積八束,穂(ほ)積(づみ)八(やつ)束(か),254,人物,法制・制度,日本,学者・思想家,1891,1912,,
棒手振,棒(ぼ)手(て)振(ふり),195,その他,商業・流通・都市,,,,,江戸,
ホトトギス,ホトトギス,291,書物・史料,文学,,,1897,1897,,
堀河天皇,堀(ほり)河(かわ)天(てん)皇(のう),77,人物,政治・政策,日本,天皇・皇族,1086,1107,,
堀越公方,堀(ほり)越(ごえ)公(く)方(ぼう),132,制度・役職,政治・政策,,,1457,1491,,
本阿弥光悦,本(ほん)阿(あ)弥(み)光(こう)悦(えつ),166,人物,美術・建築,日本,芸術家,1600,1637,,
盆踊り,盆(ぼん)踊(おど)り,130,その他,芸能;生活・風俗,,,,,室町,
本願寺,本(ほん)願(がん)寺(じ),141,寺社・遺跡・場所,仏教,,,1321,1580,,
本家,本(ほん)家(け),71,制度・役職,土地・税制,,,,,平安;鎌倉,
本山・本寺,本(ほん)山(ざん)・本(ほん)寺(じ),160,制度・役職,仏教,,,,,江戸,
本地垂迹説,本(ほん)地(じ)垂(すい)迹(じゃく)説(せつ),66,文化・流派,神道;仏教,,,,,平安,
本所,本(ほん)所(じょ),71,制度・役職,土地・税制,,,,,平安;鎌倉,
本陣,本(ほん)陣(じん),183,寺社・遺跡・場所,商業・流通・都市,,,,,江戸,
本草学,本(ほん)草(ぞう)学(がく),189,文化・流派,思想・学問,,,,,江戸,
本多光太郎,本(ほん)多(だ)光(こう)太(た)郎(ろう),298,人物,思想・学問,日本,学者・思想家,1917,1954,,
本多利明,本(ほん)多(だ)利(とし)明(あき),214,人物,思想・学問,日本,学者・思想家,1798,1821,,
本朝十二銭,本(ほん)朝(ちょう)十(じゅう)二(に)銭(せん),43;63,その他,貨幣・金融,,,708,958,,
本土空襲,本(ほん)土(ど)空(くう)襲(しゅう),322,事件・戦争・乱,戦争・軍事,,,1944,1945,,
本途物成,本(ほん)途(と)物(もの)成(なり),169,制度・役職,土地・税制,,,,,江戸,
本能寺の変,本(ほん)能(のう)寺(じ)の変(へん),142,事件・戦争・乱,政変・事件・反乱,,,1582,1582,,
本百姓,本(ほん)百(びゃく)姓(しょう),169,その他,身分・社会構造;農林漁業,,,,,江戸,
本末制度,本(ほん)末(まつ)制(せい)度(ど),160,制度・役職,仏教,,,,,江戸,
本領安堵,本(ほん)領(りょう)安(あん)堵(ど),92,制度・役職,土地・税制;身分・社会構造,,,1185,1333,,
本両替,本(ほん)両(りょう)替(がえ),184,その他,貨幣・金融,,,,,江戸,
前島密,前(まえ)島(じま)密(ひそか),240,人物,産業・工業,日本,政治家,1871,1881,,
前田綱紀,前(まえ)田(だ)綱(つな)紀(のり),177,人物,政治・政策,日本,武家,1645,1723,,
前田利家,前(まえ)田(だ)利(とし)家(いえ),146,人物,政治・政策;戦争・軍事,日本,武家,1583,1599,,
前野良沢,前(まえ)野(の)良(りょう)沢(たく),198,人物,思想・学問,日本,学者・思想家,1771,1803,,
前原一誠,前(まえ)原(ばら)一(いっ)誠(せい),247,人物,政変・事件・反乱,日本,政治家,1868,1876,,
蒔絵,蒔(まき)絵(え),67,文化・流派,美術・建築,,,,,平安,
巻狩,巻(まき)狩(がり),98,その他,戦争・軍事;生活・風俗,,,,,鎌倉,
牧野伸顕,牧(まき)野(の)伸(のぶ)顕(あき),272,人物,対外関係;政治・政策,日本,政治家,1906,1935,,
纒向遺跡,纒(まき)向(むく)遺(い)跡(せき),19,寺社・遺跡・場所,考古,,,,,弥生;古墳,
枕草子,枕(まくらの)草(そう)子(し),66,書物・史料,文学,,,1001,1001,,
正岡子規,正(まさ)岡(おか)子(し)規(き),291,人物,文学,日本,文学者,1892,1902,,
正宗,正(まさ)宗(むね),109,人物,美術・建築,日本,芸術家,1300,1340,,
増田長盛,増(まし)田(た)長(なが)盛(もり),146,人物,政治・政策,日本,武家,1585,1600,,
マーシャル＝プラン,マーシャル＝プラン,333,法令・政策,対外関係;貨幣・金融,,,1947,1951,,
増鏡,増(ます)鏡(かがみ),125,書物・史料,文学,,,1368,1376,,
益田時貞,益(ます)田(だ)時(とき)貞(さだ),159,人物,一揆・打ちこわし;キリスト教,日本,その他,1637,1638,,天草四郎時貞
磨製石器,磨(ま)製(せい)石(せっ)器(き),7;9,その他,考古,,,,,縄文,
町方,町(まち)方(かた),170,その他,商業・流通・都市,,,,,江戸,
町年寄,町(まち)年(どし)寄(より),172,制度・役職,商業・流通・都市,,,,,江戸,
町火消,町(まち)火(び)消(けし),193,制度・役職,生活・風俗,,,1720,1867,,
町奉行,町(まち)奉(ぶ)行(ぎょう),156,制度・役職,政治・政策;法制・制度,,,,,江戸,
松岡洋右,松(まつ)岡(おか)洋(よう)右(すけ),307,人物,対外関係,日本,政治家,1933,1941,,
松尾多勢子,松(まつ)尾(お)多(た)勢(せ)子(こ),214,人物,思想・学問;女性,日本,その他,1860,1868,,
松尾芭蕉,松(まつ)尾(お)芭(ば)蕉(しょう),188,人物,文学,日本,文学者,1672,1694,,
マッカーサー,マッカーサー,326,人物,政治・政策;戦争・軍事,アメリカ,軍人;来日外国人,1945,1951,,
マッカーサー草案,マッカーサー草(そう)案(あん),330,書物・史料,法制・制度,,,1946,1946,,
松方正義,松(まつ)方(かた)正(まさ)義(よし),249;255;260;280,人物,貨幣・金融;政治・政策,日本,政治家,1881,1898,,
松川事件,松(まつ)川(かわ)事(じ)件(けん),335,事件・戦争・乱,政変・事件・反乱,,,1949,1949,,
末期養子,末(まつ)期(ご)養(よう)子(し),176,制度・役職,身分・社会構造,,,1651,1651,,
末寺,末(まつ)寺(じ),160,寺社・遺跡・場所,仏教,,,,,江戸,
松平容保,松(まつ)平(だいら)容(かた)保(もり),225,人物,政治・政策,日本,武家,1862,1868,,
松平定信,松(まつ)平(だいら)定(さだ)信(のぶ),204,人物,政治・政策,日本,武家,1787,1793,,
松平慶永,松(まつ)平(だいら)慶(よし)永(なが),213;225,人物,政治・政策,日本,武家,1838,1868,,
松永貞徳,松(まつ)永(なが)貞(てい)徳(とく),167,人物,文学,日本,文学者,1620,1653,,
松永久秀,松(まつ)永(なが)久(ひさ)秀(ひで),132,人物,戦争・軍事,日本,武家,1560,1577,,
末法思想,末(まっ)法(ぽう)思(し)想(そう),67,文化・流派,仏教,,,1052,1100,,
松前氏,松(まつ)前(まえ)氏(し),164,人物,北方・アイヌ,日本,武家,1604,1868,,
松前奉行,松(まつ)前(まえ)奉(ぶ)行(ぎょう),207,制度・役職,北方・アイヌ,,,1807,1821,,
松村月溪,松(まつ)村(むら)月(げっ)溪(けい),217,人物,美術・建築,日本,芸術家,1780,1811,,呉春
松本烝治,松(まつ)本(もと)烝(じょう)治(じ),330,人物,法制・制度,日本,政治家,1945,1946,,
松本清張,松(まつ)本(もと)清(せい)張(ちょう),350,人物,文学,日本,文学者,1953,1992,,
間部詮房,間(ま)部(なべ)詮(あき)房(ふさ),179,人物,政治・政策,日本,武家,1709,1716,,
マニュファクチュア,マニュファクチュア,212,その他,産業・工業,,,1800,1860,,工場制手工業
間宮林蔵,間(ま)宮(みや)林(りん)蔵(ぞう),207,人物,北方・アイヌ,日本,武家,1808,1809,,
豆板銀,豆(まめ)板(いた)銀(ぎん),184,その他,貨幣・金融,,,1601,1868,,
マルクス主義,マルクス主(しゅ)義(ぎ),298,文化・流派,思想・学問;社会運動,,,1920,1935,,
円山応挙,円(まる)山(やま)応(おう)挙(きょ),203,人物,美術・建築,日本,芸術家,1765,1795,,
丸山真男,丸(まる)山(やま)真(ま)男(さお),337,人物,思想・学問,日本,学者・思想家,1946,1996,,
万延貨幣改鋳,万(まん)延(えん)貨(か)幣(へい)改(かい)鋳(ちゅう),224,法令・政策,貨幣・金融,,,1860,1860,,
満韓交換,満(まん)韓(かん)交(こう)換(かん),262,その他,対外関係,,,1900,1903,,
満洲国,満(まん)洲(しゅう)国(こく),307,国・地域・王朝,対外関係;植民地,,,1932,1945,,
満洲事変,満(まん)洲(しゅう)事(じ)変(へん),305,事件・戦争・乱,対外関係;戦争・軍事,,,1931,1933,,
満洲某重大事件,満(まん)洲(しゅう)某(ぼう)重(じゅう)大(だい)事(じ)件(けん),303,事件・戦争・乱,対外関係;政変・事件・反乱,,,1928,1928,,張作霖爆殺事件
曼荼羅,曼(まん)荼(だ)羅(ら),61,作品,美術・建築;仏教,,,,,平安,
満鉄,満(まん)鉄(てつ),265,組織・団体・政党,植民地;産業・工業,,,1906,1945,,南満洲鉄道株式会社
政所［鎌倉］,政(まん)所(どころ)［鎌(かま)倉(くら)］,92,制度・役職,政治・政策,,,1191,1333,,
政所［室町］,政(まん)所(どころ)［室(むろ)町(まち)］,114,制度・役職,政治・政策;貨幣・金融,,,1336,1573,,
万福寺,万(まん)福(ぷく)寺(じ),160,寺社・遺跡・場所,仏教,,,1661,1661,,
満蒙の危機,満(まん)蒙(もう)の危(き)機(き),305,その他,対外関係,,,1930,1931,,
万葉集,万(まん)葉(よう)集(しゅう),51,書物・史料,文学,,,759,780,,
万葉代匠記,万(まん)葉(よう)代(だい)匠(しょう)記(き),190,書物・史料,文学;思想・学問,,,1690,1690,,
三池争議,三(み)池(いけ)争(そう)議(ぎ),347,事件・戦争・乱,労働運動,,,1959,1960,,
三井寺,三(み)井(い)寺(でら),60,寺社・遺跡・場所,仏教,,,,,平安,園城寺
御内人,御(み)内(うち)人(びと),100,その他,身分・社会構造;政治・政策,,,1250,1333,,
三浦按針,三(み)浦(うら)按(あん)針(じん),160,人物,対外関係,イギリス,来日外国人,1600,1620,,ウィリアム＝アダムズ
三浦梧楼,三(み)浦(うら)梧(ご)楼(ろう),260,人物,対外関係,日本,軍人;政治家,1895,1895,,
三浦泰村,三(み)浦(うら)泰(やす)村(むら),97,人物,政変・事件・反乱,日本,武家,1238,1247,,
三浦義澄,三(み)浦(うら)義(よし)澄(ずみ),94,人物,政治・政策,日本,武家,1180,1200,,
三木武夫,三(み)木(き)武(たけ)夫(お),355,人物,政治・政策,日本,政治家,1974,1976,,
三島通庸,三(み)島(しま)通(みち)庸(つね),250,人物,政治・政策,日本,政治家,1882,1888,,
三島由紀夫,三(み)島(しま)由(ゆ)紀(き)夫(お),350,人物,文学,日本,文学者,1949,1970,,
水城,水(みず)城(き),38,寺社・遺跡・場所,戦争・軍事;対外関係,,,664,664,,
水野忠邦,水(みず)野(の)忠(ただ)邦(くに),209,人物,政治・政策,日本,武家,1834,1845,,
水呑,水(みず)呑(のみ),169,その他,身分・社会構造;農林漁業,,,,,江戸,
見世棚,見(み)世(せ)棚(だな),101;124,その他,商業・流通・都市,,,,,鎌倉;室町,
禊,禊(みそぎ),30,その他,神道,,,,,古墳,
溝口健二,溝(みぞ)口(ぐち)健(けん)二(じ),338,人物,芸能,日本,芸術家,1923,1956,,
美空ひばり,美(み)空(そら)ひばり,338,人物,芸能,日本,芸術家,1949,1989,,
三鷹事件,三(み)鷹(たか)事(じ)件(けん),335,事件・戦争・乱,政変・事件・反乱,,,1949,1949,,
三谷,三(み)谷(たに),184,組織・団体・政党,貨幣・金融;商業・流通・都市,,,,,江戸,
三井合名会社,三(みつ)井(い)合(ごう)名(めい)会(がい)社(しゃ),284,組織・団体・政党,産業・工業,,,1909,1940,,
三井高利,三(みつ)井(い)高(たか)利(とし),184,人物,商業・流通・都市,日本,実業家,1673,1694,,
密教,密(みっ)教(きょう),58,文化・流派,仏教,,,,,平安,
密教芸術,密(みっ)教(きょう)芸(げい)術(じゅつ),60,文化・流派,美術・建築;仏教,,,,,平安,
ミッドウェー海戦,ミッドウェー海(かい)戦(せん),320,事件・戦争・乱,戦争・軍事,,,1942,1942,,
三蔵,三(みつの)蔵(くら),33,制度・役職,政治・政策,,,,,古墳,
三菱,三(みつ)菱(びし),241,組織・団体・政党,産業・工業,,,1873,1945,,
三菱長崎造船所,三(みつ)菱(びし)長(なが)崎(さき)造(ぞう)船(せん)所(じょ),283,組織・団体・政党,産業・工業,,,1887,1887,,
御堂関白記,御(み)堂(どう)関(かん)白(ぱく)記(き),69,書物・史料,政治・政策,,,998,1021,,
水戸学,水(み)戸(と)学(がく),199;214,文化・流派,思想・学問,,,1657,1867,,
水無瀬三吟百韻,水(み)無(な)瀬(せ)三(さん)吟(ぎん)百(ひゃく)韻(いん),130,作品,文学,,,1488,1488,,
港川人,港(みなと)川(がわ)人(じん),7,その他,考古;琉球・沖縄,,,,,旧石器,
南淵請安,南(みなみ)淵(ぶちの)請(しょう)安(あん),34,人物,思想・学問;対外関係,日本,学者・思想家,608,640,,
水俣病,水(みな)俣(また)病(びょう),352,事件・戦争・乱,公害・環境・災害,,,1956,1973,,
